Prey,Classification,Class,Order (Suborder),Family,Genus,Species,Successful Predation,Predator Size,DOI,Observer,Location,State,Biogeogrphic zone,Latitude,Longitude,Source,Notes,Link
Funambulus palmarum,Mammalia,Mammalia,Rodentia,Sciuridae,Funambulus,palmarum,Y,L,TF,Jigar Parmar,"Ankeleshwar, GJ",GJ,Semi-arid,21.636652,73.00978,Facebook,,https://www.facebook.com/photo/?fbid=1095688277181496&set=bc.AbrzEmn2S-IPKGk5bJEtWmv9LQMNTS9l2QhvsubACEcIC6Advwr_uebLyoii5R1RLe2LEyS68pUZSHUkhRrdtR3zOkr0JqZ4cAlXXCmv9mCmVh-AWKi3wv9khgeOTUNN0VkGPeCOjxRN32z7U-JCug6z&opaqueCursor=AbowR-UynlQ0DQRVxatlGz9m2AfOS9Jw82eCtJepH8Zbc5HWiA1etVi46qnBJjFOUS3VwvDXKAr5tO9Mw0yq4PRtCENH9AJN2NzKJel-36lKIeuSC7WjVWjCAkuQAIsmT4vFWqTeZElgQrrs7eCvkIfxyVbMQUTNGjRZ7HIcDxqm88Y4GdeIgF1Aq_eKGtw2GuZQUfpY5PpYlhoVgBZ5r_yldYwMKQKrWT0bvnp2GFFI8P3tP2cutbeW9SnT8NeVG1Kb5d_dApwoUcj3WY9qL55fiJbrt5w5rVvv_Tz7SgF8kS_i3PndLLa_6gyAFfdXE0lXfcelaNKRlm8VAaMcmvjgnu5U01oyQYDzHhFgtmq32X5nsMaW9FZgCDZplJ_3SJuDrHuaeBpNT5WyjDMNP3KzPqjTPxvfNcU1K4jBHB1lnBNimaE2Qf8k6L2nWLyOFO8JtfenzR-B0jLaf018lPZznvbtydOYmRqk9r6TPC-gkw
Funambulus palmarum,Mammalia,Mammalia,Rodentia,Sciuridae,Funambulus,palmarum,Y,L,U,Aadit Patel,"Valsad, GJ",GJ,Coast,20.621321,72.909051,Facebook,ate 3 squirrel pups,https://www.facebook.com/groups/SnakesofIndia/?post_id=4574310242594999
Gallinula chloropus,Aves,Aves,Gruilformes,Rallidae,Gallinula,chloropus,Y,L,U,Siddhart Mallik,"Bangalore, KA",KA,Deccan Peninsula,12.971599,77.594566,Facebook,,https://www.facebook.com/photo?fbid=4797460386934338&set=gm.10157778030202411
Hemidactylus gleadowi,Sauria,Aves,Gruilformes,Rallidae,Gallinula,chloropus,Y,S,U,Wall 1921,"Faizabad, UP",UP,Gangetic plain,26.77,82.150002,Literature,,
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,L,mixed,Kalki 2021,"Begar, KA",KA,Western Ghats,13.49858,75.199452,Literature,"regurgitated 9, first was alive",
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,M,HF,Hari Krishnan,"Ettumanoor, KL",KL,Western Ghats,9.683929,76.550574,Instagram,,https://www.instagram.com/p/CEEdDL0gbKF/
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,-,U,Wall 1921,"Kannur, KL",KL,Coast,11.865216,75.365829,Literature,,
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,N,M,HF,Aditya Singh,"Ranthambore, RJ",RJ,Semi-arid,26.011172,76.353753,India Nature Watch,,http://www.indianaturewatch.net/displayimage.php?id=565533
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,M,HF,Kuldeep Chaudhari,"Vasai, GJ",GJ,Semi-arid,-,-,Instagram,,https://www.instagram.com/p/CCs_XzvgphK/
Hoplobatrachus tigerinus,Anura,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,tigerinus,Y,-,U,Unknown,Pakistan,-,-,,,Literature,Squamatabase,
Leiopicus mahrattensis,Aves,Aves,Piciformes,Picidae,Leiopicus,mahrattensis,Y,M,HF,Hitesh Oberai,"Ahmednagar, MH",MH,Deccan Peninsula,19.0952,74.7496,Facebook,,https://www.facebook.com/photo?fbid=10204550177472381&set=bc.AbrYhUSRJ_VKgM5tk7McDYqIqfCsDKIJxqNID2I6cTXldXWM1xoqENlvrLQf7A6tBmxZnuSX9ylcc4ndwQGONM6BvEl3f2DNwIKpQ--EjpzazIJlips1iWoWvFkU_N_jfdVujN3v5DbhHtW177CPlSVG&opaqueCursor=AbrKwi8BpjokQFC-piTQDqB_zSJj3jWbKx236Q1O_1E-lTW89JvGOXcxSZX-JClrUZJ5F3OAXaAkMKi1liM_o-zCYZjboXH5wPfmFwgFAu_oCEglyeCQeOcD9xS7brITauT0il1rtLOZFmV0cQtsuEZT04XXUTcJd_PKu_Q_d2rRqw0ozog_xXIZDBonRlHMCQCyWsZNGbac_q3N1735nW9oXrxZHL9yiWfMmCbtgOioQu-MPwxs4rP_Ak1vuyfg5iazQ1ZqULcBMgxEJkldlOOL-gVeiw18KEUEXcK9uQkz16lNy71sKPIneKo9Vkud90hfhrdR5lhKDDHZD8NqAcv7tMWLwSbZwuuxXTaESqxcn7RuYbC74qFK59k1YDNzrAQfakVGVKB8ScXGN1s9fRlIFx7ghpLshkhUsaAky0BdLTYdDI9N_7XB6H5mX2_Ppl8nvkLMLPfTNmTuNwfGYScXFnAl5Me2O9bWUaO9LdS7eyTeCME5bu4bUAQ3gT7sRmPKdZl0fGA51iWtD8XTorm60vOgQSqvodvEwKKF9uVRbKAz78LjU-z8Le1RaOkRozM
Lepus nigricollis,Mammalia,Mammalia,Lagomorpha,Leporidae,Lepus,nigricollis,Y,L,HF,Thanigaivel,"Alwarkurichi, TN",TN,Western Ghats,8.778832,77.39458,Instagram,,https://www.instagram.com/p/CBdZOjXAhvU/
Melopsittacus undulatus,Aves,Aves,Psittaciformes,Psittacidae,Melopsidttacus,undulatus,Y,M,HF,Jigar Solanki,"Pune, MH",MH,Deccan Peninsula,18.521346,73.824856,Instagram,,https://www.instagram.com/p/CM7L1W6hPb2/
